[ 2017-02-15T15:35:23+08:00 ] /wp-login.php | SQL: SHOW COLUMNS FROM `pay_user` [ RunTime:0.001952s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-login.php | SQL: SELECT `id` FROM `pay_user` WHERE mypayurlname='wp-login.php' LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-login.php | INFO: Tag[ view_template ] --START--
[ 2017-02-15T15:35:23+08:00 ] /wp-login.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-login.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-login.php | INFO: Tag[ view_parse ] --START--
[ 2017-02-15T15:35:23+08:00 ] /wp-login.php | INFO: Run ParseTemplate Behavior [ RunTime:0.004882s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-login.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004882s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-login.php | INFO: Tag[ view_filter ] --START--
[ 2017-02-15T15:35:23+08:00 ] /wp-login.php | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-login.php | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-login.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000976s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-login.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-login.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000976s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-login.php | INFO: Tag[ view_end ] --START--
[ 2017-02-15T15:35:23+08:00 ] /wp-login.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-login.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-includes/images/crystal/license.txt | INFO: Tag[ route_check ] --START--
[ 2017-02-15T15:35:23+08:00 ] /wp-includes/images/crystal/license.txt | INFO: Run CheckRoute Behavior [ RunTime:0.000976s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-includes/images/crystal/license.txt | INFO: Tag[ route_check ] --END-- [ RunTime:0.000976s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-includes/images/crystal/license.txt | INFO: Tag[ app_begin ] --START--
[ 2017-02-15T15:35:23+08:00 ] /wp-includes/images/crystal/license.txt | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000977s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-includes/images/crystal/license.txt | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000977s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-includes/images/crystal/license.txt | SQL: SHOW COLUMNS FROM `pay_user` [ RunTime:0.002930s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-includes/images/crystal/license.txt | SQL: SELECT `id` FROM `pay_user` WHERE mypayurlname='wp-includes/images/crystal/license.txt' LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-includes/images/crystal/license.txt | INFO: Tag[ view_template ] --START--
[ 2017-02-15T15:35:23+08:00 ] /wp-includes/images/crystal/license.txt | INFO: Run LocationTemplate Behavior [ RunTime:0.000976s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-includes/images/crystal/license.txt | INFO: Tag[ view_template ] --END-- [ RunTime:0.000976s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-includes/images/crystal/license.txt | INFO: Tag[ view_parse ] --START--
[ 2017-02-15T15:35:23+08:00 ] /wp-includes/images/crystal/license.txt | INFO: Run ParseTemplate Behavior [ RunTime:0.003906s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-includes/images/crystal/license.txt | INFO: Tag[ view_parse ] --END-- [ RunTime:0.003906s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-includes/images/crystal/license.txt | INFO: Tag[ view_filter ] --START--
[ 2017-02-15T15:35:23+08:00 ] /wp-includes/images/crystal/license.txt | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-includes/images/crystal/license.txt | INFO: Run TokenBuild Behavior [ RunTime:0.000976s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-includes/images/crystal/license.txt | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-includes/images/crystal/license.txt | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-includes/images/crystal/license.txt | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000976s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-includes/images/crystal/license.txt | INFO: Tag[ view_end ] --START--
[ 2017-02-15T15:35:23+08:00 ] /wp-includes/images/crystal/license.txt | INFO: Run ShowPageTrace Behavior [ RunTime:0.000976s ]
[ 2017-02-15T15:35:23+08:00 ] /wp-includes/images/crystal/license.txt | INFO: Tag[ view_end ] --END-- [ RunTime:0.000976s ]
[ 2017-02-15T15:35:23+08:00 ] /robots.txt | INFO: Tag[ route_check ] --START--
[ 2017-02-15T15:35:23+08:00 ] /robots.txt | INFO: Run CheckRoute Behavior [ RunTime:0.000977s ]
[ 2017-02-15T15:35:23+08:00 ] /robots.txt | INFO: Tag[ route_check ] --END-- [ RunTime:0.000977s ]
[ 2017-02-15T15:35:23+08:00 ] /robots.txt | INFO: Tag[ app_begin ] --START--
[ 2017-02-15T15:35:23+08:00 ] /robots.txt | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-15T15:35:23+08:00 ] /robots.txt | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-15T15:35:23+08:00 ] /robots.txt | SQL: SHOW COLUMNS FROM `pay_user` [ RunTime:0.001952s ]
